Country,Year,Mental hospitals (per 100 000 population)
Afghanistan,2016,0.003
Albania,2016,0.068
Algeria,2016,0.048
Angola,2016,0.011
Antigua and Barbuda,2016,1.001
Argentina,2016,0.937
Armenia,2016,
Australia,2015,0.071
Austria,2015,0.092
Azerbaijan,2016,0.114
Bahamas,2015,0.259
Bahrain,2017,0.146
Bangladesh,2016,0.001
Barbados,2015,0.352
Belarus,2016,0.2
Belgium,2013,0.47
Belize,2016,
Bhutan,2016,
Bolivia (Plurinational State of),2016,0.075
Bosnia and Herzegovina,2015,0.085
Botswana,2017,0.091
Brazil,2016,0.069
Brunei Darussalam,2016,
Bulgaria,2016,0.167
Burkina Faso,2016,
Burundi,2017,0.01
Cabo Verde,2017,
Cambodia,2016,
Canada,2017,0.057
Central African Republic,2017,
Chad,2016,
Chile,2016,0.023
China,2015,0.068
Colombia,2016,1.988
Comoros,2017,
Congo,2016,
Cook Islands,2016,
Costa Rica,2016,0.042
C̫te d'Ivoire,2016,0.009
Croatia,2016,0.165
Cuba,2016,0.166
Cyprus,2015,0.086
Czechia,2015,0.17
Dominican Republic,2016,
Ecuador,2016,0.025
Egypt,2016,0.019
El Salvador,2016,0.032
Equatorial Guinea,2017,0.085
Eritrea,2016,0.021
Estonia,2016,0.152
Eswatini,2017,0.076
Ethiopia,2017,0.002
Fiji,2016,0.112
Finland,2017,
Gabon,2016,0.052
Georgia,2016,0.228
Germany,2015,0.335
Ghana,2016,0.011
Greece,2016,0.027
Grenada,2016,0.936
Guatemala,2016,0.006
Guinea,2016,
Guinea-Bissau,2016,0.056
Guyana,2016,0.13
Haiti,2016,0.019
Honduras,2014,0.022
Hungary,2016,
Iceland,2016,0.303
India,2016,0.01
Indonesia,2016,0.019
Iran (Islamic Republic of),2017,0.049
Iraq,2017,0.006
Ireland,2016,0.617
Israel,2016,0.161
Italy,2015,
Jamaica,2015,0.035
Japan,2016,8.314
Jordan,2016,0.055
Kenya,2016,0.002
Kiribati,2015,0.89
Kyrgyzstan,2016,0.085
Latvia,2015,0.301
Lebanon,2015,0.085
Liberia,2016,0.022
Libya,2016,0.032
Lithuania,2016,0.136
Luxembourg,2015,0.176
Madagascar,2016,0.021
Malaysia,2016,0.013
Maldives,2017,
Mali,2016,
Marshall Islands,2017,
Mauritania,2013,
Mauritius,2017,0.079
Mexico,2016,0.029
Monaco,2016,
Mongolia,2016,0.034
Montenegro,2016,0.318
Morocco,2016,0.032
Mozambique,2016,0.007
Myanmar,2016,0.004
Namibia,2016,
Nauru,2016,
Nepal,2016,0.021
Netherlands,2015,0.201
New Zealand,2016,
Nicaragua,2017,0.016
Niger,2016,
Niue,2017,
Norway,2016,0.577
Pakistan,2016,0.006
Panama,2016,0.025
Paraguay,2016,0.03
Peru,2016,0.01
Philippines,2016,0.001
Poland,2016,0.125
Portugal,2016,0.029
Qatar,2016,0.038
Republic of Korea,2016,0.358
Republic of Moldova,2015,0.074
Romania,2016,0.171
Russian Federation,2015,0.136
Rwanda,2016,0.017
Saint Kitts and Nevis,2017,
Saint Lucia,2016,0.564
Saint Vincent and the Grenadines,2017,0.914
Samoa,2016,0.516
Sao Tome and Principe,2016,
Saudi Arabia,2016,0.079
Senegal,2016,0.007
Serbia,2017,0.079
Seychelles,2016,1.067
Sierra Leone,2017,0.014
Singapore,2016,0.018
Slovenia,2016,0.241
Somalia,2017,0.007
South Africa,2016,0.116
South Sudan,2016,
Spain,2015,0.183
Sri Lanka,2017,0.005
Switzerland,2015,0.589
Syrian Arab Republic,2016,0.016
Tajikistan,2016,0.035
Thailand,2016,0.028
Republic of North Macedonia,2017,0.144
Timor-Leste,2016,
Togo,2016,0.013
Tonga,2016,0
Trinidad and Tobago,2017,0.074
Tunisia,2017,0.009
Turkey,2016,0.011
Uganda,2016,0.002
Ukraine,2016,0.139
United Arab Emirates,2016,0.011
United Republic of Tanzania,2015,0.004
United States of America,2016,0.189
Uruguay,2016,0.321
Uzbekistan,2016,0.081
Vanuatu,2016,
Viet Nam,2016,0.043
Yemen,2016,0.033
Zambia,2016,0.062
Zimbabwe,2016,0.025
